Heading,Title1, Title2, Course Details
"AWS","AWS","Solution Architect","Datascience with GenAl,Al enhanced full-stack development,Al driven data analytics,Al driven python programming,Al powered software testing,UI/UX design with Al"
"AI","Datascience","with GenAI","AWS Solution Architect,Al enhanced full-stack development,Al driven data analytics,Al driven python programming,Al powered software testing,UI/UX design with Al"
